Website ID,Date,Widget ID,Clicks,Impressions,Revenue
1415,2020-04-29,4660,280,42758000000,1045959996
1415,2020-04-30,4660,294,35864000000,739199998
1415,2020-05-01,4660,224,25332000000,491600796
1415,2020-05-02,4660,262,26610000000,565099998
1415,2020-05-03,4660,286,38448000000,536779996
1415,2020-05-04,4660,204,32782000000,562700000
1415,2020-05-05,4660,242,24934000000,420339996
1415,2020-05-06,4660,224,17102000000,0
1402,2019-12-22,4651,0,8000000,0
1402,2019-12-23,4651,0,14000000,18746
1402,2019-12-24,4651,0,6000000,0
1402,2019-12-25,4651,0,14000000,0
1402,2019-12-26,4651,0,6000000,0
1402,2019-12-27,4651,0,12000000,0
1402,2019-12-28,4651,0,10000000,0
1402,2019-12-29,4651,0,12000000,0
1402,2019-12-30,4651,0,4000000,0
1402,2019-12-31,4651,0,8000000,0
1402,2020-01-01,4651,0,10000000,0
1402,2020-01-02,4651,0,8000000,0
1402,2020-01-03,4651,0,14000000,29752
1402,2020-01-04,4651,0,8000000,0
1402,2020-01-05,4651,0,10000000,0
1402,2020-01-06,4651,0,22000000,0
1402,2020-01-07,4651,0,10000000,0
1402,2020-01-08,4651,0,16000000,0
1402,2020-01-09,4651,0,18000000,0
1402,2020-01-10,4651,0,10000000,0
1402,2020-01-11,4651,0,20000000,22038
1402,2020-01-12,4651,0,4000000,18324
1402,2020-01-13,4651,0,8000000,54122
1402,2020-01-14,4651,0,18000000,249222
1402,2020-01-15,4651,0,4000000,0
1402,2020-01-16,4651,0,12000000,19498
1402,2020-01-17,4651,0,4000000,44966
1402,2020-01-18,4651,0,12000000,31008
1402,2020-01-19,4651,0,4000000,0
1402,2020-01-20,4651,0,12000000,38866
1402,2020-01-21,4651,0,14000000,126410
1402,2020-01-22,4651,0,26000000,452656
1402,2020-01-23,4651,0,16000000,315670
1402,2020-01-24,4651,0,22000000,131112
1402,2020-01-25,4651,0,14000000,55606
1402,2020-01-26,4651,0,6000000,0
1402,2020-01-27,4651,0,10000000,15052
1402,2020-01-28,4651,0,18000000,30106
1402,2020-01-29,4651,0,16000000,76238
1402,2020-01-30,4651,0,12000000,0
1402,2020-01-31,4651,0,4000000,0
1402,2020-02-01,4651,0,16000000,71502
1402,2020-02-02,4651,0,10000000,23498
1402,2020-02-03,4651,0,4000000,0
1402,2020-02-04,4651,0,16000000,190320
1402,2020-02-05,4651,0,10000000,0
1402,2020-02-06,4651,0,8000000,39138
1402,2020-02-07,4651,0,12000000,30106
1402,2020-02-08,4651,0,10000000,165588
1402,2020-02-09,4651,0,10000000,0
1402,2020-02-10,4651,0,20000000,73702
1402,2020-02-11,4651,0,22000000,243354
1402,2020-02-12,4651,0,10000000,102772
1402,2020-02-13,4651,0,8000000,0
1402,2020-02-14,4651,0,18000000,108818
1402,2020-02-15,4651,0,12000000,0
1402,2020-02-16,4651,0,10000000,44984
1402,2020-02-17,4651,0,8000000,0
1402,2020-02-18,4651,0,18000000,157178
1402,2020-02-19,4651,0,10000000,30026
1402,2020-02-20,4651,0,12000000,10346
1402,2020-02-21,4651,0,12000000,19678
1402,2020-02-22,4651,0,10000000,21434
1402,2020-02-23,4651,0,2000000,10346
1402,2020-02-25,4651,0,8000000,82200
1402,2020-02-26,4651,0,6000000,35896
1402,2020-02-27,4651,0,6000000,57202
1402,2020-02-28,4651,0,8000000,80104
1402,2020-02-29,4651,0,6000000,69244
1402,2020-03-01,4651,0,6000000,75536
1402,2020-03-02,4651,0,14000000,163750
1402,2020-03-03,4651,0,12000000,130060
1402,2020-03-04,4651,0,8000000,138468
1402,2020-03-05,4651,0,6000000,24612
1402,2020-03-06,4651,0,12000000,96258
1402,2020-03-07,4651,0,8000000,37104
1402,2020-03-08,4651,0,8000000,91452
1402,2020-03-09,4651,0,6000000,44660
1402,2020-03-10,4651,0,12000000,61784
1402,2020-03-11,4651,0,16000000,80566
1402,2020-03-12,4651,0,6000000,39740
1402,2020-03-13,4651,0,6000000,13810
1402,2020-03-14,4651,0,6000000,27696
1402,2020-03-15,4651,0,6000000,34456
1402,2020-03-16,4651,0,6000000,77784
1402,2020-03-17,4651,0,6000000,53448
1402,2020-03-18,4651,0,6000000,72720
1402,2020-03-19,4651,0,6000000,57610
1402,2020-03-20,4651,0,6000000,97602
1402,2020-03-21,4651,0,6000000,37242
1402,2020-03-22,4651,0,6000000,8612
1402,2020-03-23,4651,0,6000000,34170
1402,2020-03-24,4651,0,6000000,43626
1402,2020-03-25,4651,0,12000000,38450
1402,2020-03-26,4651,0,12000000,45620
1402,2020-03-27,4651,0,6000000,180432
1402,2020-03-28,4651,0,6000000,87746
1402,2020-03-29,4651,0,6000000,0
1402,2020-03-30,4651,0,6000000,37082
1402,2020-03-31,4651,0,6000000,69474
1402,2020-04-01,4651,0,6000000,76028
1402,2020-04-02,4651,0,12000000,115624
1402,2020-04-03,4651,0,8000000,106016
1402,2020-04-04,4651,0,8000000,104232
1402,2020-04-06,4651,0,8000000,58646
1402,2020-04-07,4651,0,6000000,45530
1402,2020-04-08,4651,0,6000000,113084
1402,2020-04-09,4651,0,6000000,172758
1402,2020-04-10,4651,0,6000000,53928
1402,2020-04-11,4651,0,6000000,147826
1402,2020-04-12,4651,0,8000000,13142
1402,2020-04-13,4651,0,6000000,31010
1402,2020-04-14,4651,0,6000000,6924
1402,2020-04-15,4651,0,6000000,0
1402,2020-04-16,4651,0,6000000,0
1402,2020-04-19,4651,0,6000000,12342
1402,2020-04-20,4651,0,6000000,6924
1402,2020-04-21,4651,0,6000000,89796
1402,2020-04-22,4651,0,6000000,32428
1402,2020-04-23,4651,0,6000000,35476
1402,2020-04-24,4651,0,6000000,0
1402,2020-04-25,4651,0,6000000,15052
1402,2020-04-26,4651,0,6000000,0
1402,2020-04-27,4651,0,6000000,63224
1402,2020-04-28,4651,0,6000000,0
1402,2020-04-29,4651,0,12000000,177198
1402,2020-05-02,4651,0,6000000,175908
1402,2020-05-03,4651,0,6000000,112644
1402,2020-05-04,4651,0,6000000,27648
1402,2020-05-05,4651,0,6000000,69692
1397,2020-01-01,4648,280,35272000000,268169972
1397,2020-01-02,4648,422,30202000000,415771990
1397,2020-01-03,4648,230,11728000000,181761996
1397,2020-01-04,4648,50,2318000000,11955996
1397,2020-01-05,4648,686,29254000000,281147988
1397,2020-01-06,4648,814,64228000000,1329327974
1397,2020-01-07,4648,396,31180000000,1054787962
1397,2020-01-08,4648,610,36652000000,460893986
1397,2020-01-09,4648,396,44032000000,873627970
1397,2020-01-10,4648,548,39188000000,1230263976
1397,2020-01-11,4648,948,67952000000,2114629990
1397,2020-01-12,4648,892,61598000000,1958417964
1397,2020-01-13,4648,308,38452000000,1294915990
1397,2020-01-14,4648,504,47384000000,2534125984
1397,2020-01-15,4648,890,64636000000,3400543990
1397,2020-01-16,4648,712,53154000000,3301493986
1397,2020-01-17,4648,770,45984000000,3499747978
